"","Condition","min","Target","Signal","Sigma"
"1","10ng/mL HGF",0,"pAKT",-670718577.284672,96749275.7551479
"2","10ng/mL HGF",5,"pAKT",568267705.717229,97144057.480996
"3","10ng/mL HGF",10,"pAKT",1047511985.40972,97215659.0013372
"4","10ng/mL HGF",20,"pAKT",-323041808.71515,97055786.6407116
"5","10ng/mL HGF",30,"pAKT",-899694817.71267,96908309.2591017
"6","10ng/mL HGF",60,"pAKT",317336263.906077,96731345.8281802
"7","10ng/mL HGF",120,"pAKT",-469389150.58747,96827712.2329978
"8","40ng/mL HGF",0,"pAKT",-759328359.917045,50745959.2323593
"9","40ng/mL HGF",5,"pAKT",332402268.460866,72362377.4089528
"10","40ng/mL HGF",10,"pAKT",195128642.369713,69714209.8861763
"11","40ng/mL HGF",20,"pAKT",128694503.412192,103596333.399498
"12","40ng/mL HGF",30,"pAKT",74252762.5824734,55677233.4393369
"13","40ng/mL HGF",60,"pAKT",1005593569.50073,53448566.9370989
"14","40ng/mL HGF",120,"pAKT",-795133189.478791,51150625.0656136
"15","80ng/mL HGF",0,"pAKT",-308534809.354283,63706227.8996894
"16","80ng/mL HGF",5,"pAKT",836292363.695378,97808852.2626881
"17","80ng/mL HGF",10,"pAKT",891197549.298427,88293133.3777025
"18","80ng/mL HGF",20,"pAKT",1116270417.7932,79874711.3197482
"19","80ng/mL HGF",30,"pAKT",907926730.146062,69436573.3001951
"20","80ng/mL HGF",45,"pAKT",379933642.919091,89708373.677044
"21","80ng/mL HGF",60,"pAKT",-695278754.946773,65357626.6245383
"22","80ng/mL HGF",120,"pAKT",-215630298.315516,63820482.6619717
"23","40ng/mL HGF + AKTi",0,"pAKT",-202615719.325505,96655118.6550567
"24","40ng/mL HGF + AKTi",5,"pAKT",162299204.705432,98974061.5852151
"25","40ng/mL HGF + AKTi",10,"pAKT",-241197048.134346,97476781.7018946
"26","40ng/mL HGF + AKTi",30,"pAKT",-469246505.787931,97024379.4112315
"27","40ng/mL HGF + AKTi",60,"pAKT",-331215987.81516,97286027.5749515
"28","40ng/mL HGF + AKTi",120,"pAKT",592275284.235571,96651287.2857534
"29","40ng/mL HGF + MEKi",0,"pAKT",729899014.913647,97986038.5716451
"30","40ng/mL HGF + MEKi",5,"pAKT",657312175.730851,108123655.778158
"31","40ng/mL HGF + MEKi",10,"pAKT",873234696.978704,120515936.25405
"32","40ng/mL HGF + MEKi",30,"pAKT",1386069974.31788,122173554.009306
"33","40ng/mL HGF + MEKi",60,"pAKT",710016288.199143,110909595.953721
"34","40ng/mL HGF + MEKi",120,"pAKT",-221472124.828165,100682389.132819
"35","10ng/mL HGF",0,"pERK1",276784384.175802,11525380.0999205
"36","10ng/mL HGF",5,"pERK1",237405807.210904,11542785.4078686
"37","10ng/mL HGF",10,"pERK1",-336115665.076692,11495066.8690357
"38","10ng/mL HGF",20,"pERK1",-148272775.604994,11474202.3793656
"39","10ng/mL HGF",30,"pERK1",705826189.974163,11538824.4191488
"40","10ng/mL HGF",60,"pERK1",28465508.4363066,11465978.5810771
"41","10ng/mL HGF",120,"pERK1",552113558.411877,11458998.7006968
"42","40ng/mL HGF",0,"pERK1",-187495778.593556,5867808.59950636
"43","40ng/mL HGF",5,"pERK1",-25476869.2698432,7941965.88667382
"44","40ng/mL HGF",10,"pERK1",112413206.889798,8246306.04162243
"45","40ng/mL HGF",20,"pERK1",-384860659.745954,12100834.8290309
"46","40ng/mL HGF",30,"pERK1",1214350701.41365,6773537.5174519
"47","40ng/mL HGF",60,"pERK1",360471758.5919,6544706.28484736
"48","40ng/mL HGF",120,"pERK1",-611592768.557971,6079761.16799967
"49","80ng/mL HGF",0,"pERK1",622270242.645938,9013376.67261421
"50","80ng/mL HGF",5,"pERK1",-65762271.6802251,11143517.3394958
"51","80ng/mL HGF",10,"pERK1",543174397.654682,11227354.171765
"52","80ng/mL HGF",20,"pERK1",-289675302.133258,10214469.3581184
"53","80ng/mL HGF",30,"pERK1",-168600110.513296,9513144.84623956
"54","80ng/mL HGF",45,"pERK1",742027093.770103,14877627.8771406
"55","80ng/mL HGF",60,"pERK1",131458264.21452,9453113.36303199
"56","80ng/mL HGF",120,"pERK1",-957561244.985566,9132146.49713517
"57","40ng/mL HGF + AKTi",0,"pERK1",-1043720528.50268,11585492.8483814
"58","40ng/mL HGF + AKTi",5,"pERK1",-792039863.428308,14068450.0266469
"59","40ng/mL HGF + AKTi",10,"pERK1",476844471.943394,13899647.0623691
"60","40ng/mL HGF + AKTi",30,"pERK1",14350396.8823713,13033620.1537234
"61","40ng/mL HGF + AKTi",60,"pERK1",668863325.956826,11941009.8373373
"62","40ng/mL HGF + AKTi",120,"pERK1",-628762579.711549,12280711.3832943
"63","40ng/mL HGF + MEKi",0,"pERK1",-914846624.383559,11413429.499195
"64","40ng/mL HGF + MEKi",5,"pERK1",-35970101.8994585,11417003.3536086
"65","40ng/mL HGF + MEKi",10,"pERK1",-422225206.377748,11450584.3042335
"66","40ng/mL HGF + MEKi",30,"pERK1",226624662.690269,11529389.7281455
"67","40ng/mL HGF + MEKi",60,"pERK1",-162907912.848919,11454792.3034931
"68","40ng/mL HGF + MEKi",120,"pERK1",-1379435886.2129,11450001.0128695
"69","10ng/mL HGF",0,"pERK2",-191289109.736445,29899056.4398916
"70","10ng/mL HGF",5,"pERK2",-124070160.84303,30071760.2776803
"71","10ng/mL HGF",10,"pERK2",154168706.24136,29790702.036633
"72","10ng/mL HGF",20,"pERK2",-168128478.813884,29711438.0185963
"73","10ng/mL HGF",30,"pERK2",-592391481.790473,29876167.6503477
"74","10ng/mL HGF",60,"pERK2",255141054.378549,29718346.2169889
"75","10ng/mL HGF",120,"pERK2",978772168.350879,29707104.1806724
"76","40ng/mL HGF",0,"pERK2",599310805.323184,15272354.9027248
"77","40ng/mL HGF",5,"pERK2",621225827.117185,21392321.8809875
"78","40ng/mL HGF",10,"pERK2",408751438.592348,21892009.5160682
"79","40ng/mL HGF",20,"pERK2",192597780.045019,30887134.614788
"80","40ng/mL HGF",30,"pERK2",-47476095.8158769,18796271.5980577
"81","40ng/mL HGF",60,"pERK2",-857899264.275352,16779962.3088913
"82","40ng/mL HGF",120,"pERK2",693697103.371427,15856050.8813091
"83","80ng/mL HGF",0,"pERK2",639701098.562675,23369534.5238486
"84","80ng/mL HGF",5,"pERK2",1118135053.39086,28478580.4059235
"85","80ng/mL HGF",10,"pERK2",325646704.260395,29299626.9925884
"86","80ng/mL HGF",20,"pERK2",-523802726.818293,26817719.6474735
"87","80ng/mL HGF",30,"pERK2",-1227525540.71258,25056302.1532092
"88","80ng/mL HGF",45,"pERK2",636449043.215549,38703940.0325444
"89","80ng/mL HGF",60,"pERK2",704852612.782799,24557810.0672514
"90","80ng/mL HGF",120,"pERK2",242359687.360641,23713276.6261769
"91","40ng/mL HGF + AKTi",0,"pERK2",47215574.2235909,30093632.5622329
"92","40ng/mL HGF + AKTi",5,"pERK2",1550485168.26279,38345777.4932221
"93","40ng/mL HGF + AKTi",10,"pERK2",-542795077.861632,38177428.6881888
"94","40ng/mL HGF + AKTi",30,"pERK2",760520763.497634,33635013.2828457
"95","40ng/mL HGF + AKTi",60,"pERK2",-193956531.678985,31288559.8446535
"96","40ng/mL HGF + AKTi",120,"pERK2",283880951.12235,31386035.0116961
"97","40ng/mL HGF + MEKi",0,"pERK2",-94807702.6525321,29558532.9363356
"98","40ng/mL HGF + MEKi",5,"pERK2",80056949.3169022,29576220.3319377
"99","40ng/mL HGF + MEKi",10,"pERK2",-778021921.86294,29708637.9802811
"100","40ng/mL HGF + MEKi",30,"pERK2",-560460242.931685,30039986.2624327
"101","40ng/mL HGF + MEKi",60,"pERK2",-180627441.044287,29679161.5573484
"102","40ng/mL HGF + MEKi",120,"pERK2",640833846.616568,29665013.983427
"103","10ng/mL HGF",0,"pMEK",338169565.166548,31005695.6535619
"104","10ng/mL HGF",5,"pMEK",-209344475.044717,31400417.8908336
"105","10ng/mL HGF",10,"pMEK",72024731.4737581,31199119.8316944
"106","10ng/mL HGF",20,"pMEK",-275530628.895652,31015193.6550016
"107","10ng/mL HGF",30,"pMEK",870446942.397738,31140885.5645973
"108","10ng/mL HGF",60,"pMEK",242166190.456335,31040782.5537798
"109","10ng/mL HGF",120,"pMEK",43110017.780977,31072343.166232
"110","40ng/mL HGF",0,"pMEK",1439402903.94915,18057459.3377205
"111","40ng/mL HGF",5,"pMEK",-207271079.081598,24068780.4933412
"112","40ng/mL HGF",10,"pMEK",773572913.514866,22597415.0000565
"113","40ng/mL HGF",20,"pMEK",-407050373.533855,31837425.8356831
"114","40ng/mL HGF",30,"pMEK",-440360746.022045,18987856.6625804
"115","40ng/mL HGF",60,"pMEK",295375791.202841,18721959.0894289
"116","40ng/mL HGF",120,"pMEK",-301091209.880501,18520013.4715047
"117","80ng/mL HGF",0,"pMEK",451715754.959995,23824293.6822539
"118","80ng/mL HGF",5,"pMEK",-132782978.549461,34865579.0685362
"119","80ng/mL HGF",10,"pMEK",-282003395.604786,27922680.1406093
"120","80ng/mL HGF",20,"pMEK",1279845673.39259,26817926.9811186
"121","80ng/mL HGF",30,"pMEK",-269856721.357931,24734322.3585431
"122","80ng/mL HGF",45,"pMEK",682094350.618643,36332849.6382382
"123","80ng/mL HGF",60,"pMEK",935148019.216461,24669355.7312881
"124","80ng/mL HGF",120,"pMEK",273578223.10632,24088959.1368042
"125","40ng/mL HGF + AKTi",0,"pMEK",-129864805.952697,35948014.6482993
"126","40ng/mL HGF + AKTi",5,"pMEK",182546571.997386,44611228.9218384
"127","40ng/mL HGF + AKTi",10,"pMEK",164618096.977031,39256896.7263566
"128","40ng/mL HGF + AKTi",30,"pMEK",647468369.400738,39543624.3858003
"129","40ng/mL HGF + AKTi",60,"pMEK",55726538.3363418,37802273.9181449
"130","40ng/mL HGF + AKTi",120,"pMEK",862226576.761366,36737226.6127166
"131","40ng/mL HGF + MEKi",0,"pMEK",645240854.291561,40537801.6204211
"132","40ng/mL HGF + MEKi",5,"pMEK",700985761.654974,41897045.5881669
"133","40ng/mL HGF + MEKi",10,"pMEK",1365082245.48849,51650862.4695423
"134","40ng/mL HGF + MEKi",30,"pMEK",-331376822.232873,52220708.915346
"135","40ng/mL HGF + MEKi",60,"pMEK",1614654190.74762,50933897.1763853
"136","40ng/mL HGF + MEKi",120,"pMEK",528860081.963075,43816409.2855364
